Hour,DayOfWeek,IsHoliday,WeatherCondition,IntersectionID,VehicleCount
14.0,Tuesday,No,Snowy,C,235
,Sunday,,Clear,D,330
9.0,Tuesday,No,Rainy,B,194
20.0,Wednesday,Yes,Rainy,C,12
13.0,Tuesday,No,Foggy,C,256
15.0,Wednesday,No,Snowy,B,218
7.0,Saturday,No,Foggy,,65
17.0,Wednesday,No,Foggy,B,223
19.0,Friday,Yes,Snowy,C,10
3.0,Monday,No,Rainy,B,53
11.0,Saturday,No,Rainy,A,270
19.0,Wednesday,No,Snowy,C,124
21.0,Saturday,No,Clear,D,160
6.0,Friday,Yes,Rainy,B,10
17.0,Tuesday,Yes,Rainy,A,146
4.0,Friday,Yes,Clear,C,10
7.0,Monday,Yes,Snowy,A,10
11.0,Monday,Yes,Clear,C,182
0.0,Thursday,No,Snowy,D,10
2.0,Tuesday,No,Foggy,C,10
19.0,Sunday,Yes,Rainy,D,55
23.0,Thursday,No,Rainy,D,77
2.0,Monday,No,Clear,C,65
13.0,Saturday,No,Clear,C,361
18.0,Tuesday,Yes,Foggy,C,57
8.0,Sunday,Yes,,C,108
9.0,,Yes,Snowy,A,10
16.0,Thursday,Yes,Foggy,A,142
4.0,Friday,Yes,Snowy,D,10
6.0,Monday,Yes,Snowy,C,10
12.0,,No,Rainy,C,279
0.0,Thursday,No,Rainy,C,32
23.0,Monday,Yes,Snowy,D,10
,Wednesday,No,Foggy,A,219
18.0,Monday,No,Rainy,B,236
20.0,Friday,No,Rainy,B,139
5.0,Sunday,Yes,Snowy,D,10
18.0,Friday,No,Clear,C,257
18.0,Friday,No,Clear,C,306
2.0,Friday,Yes,Rainy,D,10
1.0,Sunday,No,Clear,B,49
22.0,Thursday,Yes,Foggy,C,10
1.0,Saturday,No,Snowy,B,10
18.0,Wednesday,No,Clear,D,280
10.0,Saturday,Yes,Snowy,A,61
5.0,Wednesday,No,Rainy,C,22
3.0,Friday,Yes,Rainy,B,10
22.0,Sunday,No,Foggy,B,50
19.0,Saturday,Yes,Foggy,D,54
6.0,Friday,No,Snowy,D,10
6.0,Tuesday,Yes,Foggy,A,10
16.0,Wednesday,Yes,Rainy,A,180
7.0,Wednesday,No,Foggy,A,87
0.0,Monday,No,Rainy,D,35
4.0,Thursday,Yes,Clear,B,10
23.0,Thursday,No,Clear,D,80
19.0,Monday,No,Clear,B,243
9.0,Friday,No,Clear,C,245
16.0,Sunday,Yes,Snowy,D,76
8.0,Wednesday,No,Clear,C,237
11.0,Sunday,No,Snowy,B,196
14.0,Tuesday,Yes,Foggy,D,126
17.0,Monday,Yes,Clear,C,199
11.0,Thursday,No,Rainy,D,247
16.0,Monday,Yes,Rainy,C,186
10.0,Wednesday,No,Snowy,A,178
11.0,Thursday,Yes,Snowy,B,50
4.0,Saturday,Yes,Rainy,C,10
18.0,Tuesday,No,Clear,C,283
20.0,,Yes,Snowy,A,10
8.0,Tuesday,No,Snowy,B,118
14.0,Saturday,Yes,Foggy,A,145
9.0,Sunday,Yes,Rainy,B,64
7.0,Monday,No,Rainy,A,103
12.0,Saturday,No,Clear,C,314
14.0,Friday,Yes,Rainy,A,188
16.0,Tuesday,Yes,Foggy,C,137
17.0,Saturday,Yes,Rainy,B,152
19.0,Friday,Yes,Clear,C,135
18.0,Saturday,No,Foggy,D,195
2.0,Tuesday,No,Foggy,C,10
10.0,Sunday,No,Foggy,A,190
14.0,Thursday,Yes,Snowy,D,164
5.0,Friday,Yes,Snowy,D,10
9.0,Monday,No,Rainy,A,182
15.0,Sunday,No,Clear,D,323
8.0,Sunday,Yes,Rainy,C,50
16.0,Friday,Yes,Clear,C,205
11.0,Tuesday,No,Clear,C,320
16.0,Friday,Yes,Foggy,C,139
16.0,Friday,No,Clear,A,328
18.0,Saturday,Yes,Foggy,B,58
18.0,Friday,No,Rainy,A,205
14.0,Tuesday,Yes,Snowy,A,101
16.0,Wednesday,No,Foggy,D,267
10.0,Saturday,No,Rainy,C,239
7.0,Wednesday,Yes,Snowy,C,10
23.0,Monday,No,Snowy,B,10
9.0,Monday,No,Snowy,C,127
22.0,Monday,Yes,Rainy,A,10
10.0,Monday,,Rainy,D,238
6.0,Wednesday,Yes,Clear,B,10
23.0,Monday,Yes,Rainy,A,10
12.0,Tuesday,No,Clear,A,337
10.0,Saturday,No,Rainy,D,246
3.0,Saturday,No,Clear,C,77
6.0,Sunday,No,Foggy,A,66
4.0,,No,Foggy,C,10
,Saturday,Yes,Clear,B,191
16.0,Saturday,Yes,Foggy,B,140
4.0,Thursday,No,Snowy,B,10
21.0,Sunday,No,Foggy,A,91
17.0,Tuesday,Yes,Snowy,B,143
15.0,Friday,Yes,Snowy,A,116
21.0,,No,Rainy,A,144
22.0,Monday,Yes,Snowy,D,10
4.0,Saturday,No,Snowy,D,10
21.0,Sunday,No,Snowy,B,35
0.0,Thursday,No,Rainy,C,45
6.0,Saturday,Yes,Snowy,A,10
2.0,Monday,Yes,Clear,B,10
1.0,Wednesday,No,Foggy,B,10
16.0,Wednesday,Yes,Snowy,A,92
20.0,Sunday,No,Foggy,D,166
7.0,Saturday,No,Snowy,B,10
8.0,Saturday,No,Clear,B,214
12.0,Friday,Yes,Rainy,C,138
0.0,Tuesday,Yes,Snowy,B,10
7.0,Sunday,No,Foggy,C,103
15.0,Sunday,No,Foggy,C,266
1.0,Tuesday,Yes,Snowy,B,10
12.0,Tuesday,No,Snowy,D,196
23.0,Tuesday,No,Clear,A,108
21.0,Monday,Yes,,D,27
19.0,Friday,,,C,243
,Sunday,No,Rainy,A,291
7.0,Friday,No,Snowy,D,28
7.0,Tuesday,Yes,Clear,D,84
15.0,Monday,Yes,Snowy,C,118
3.0,Monday,No,Clear,C,15
18.0,Tuesday,,Rainy,D,239
9.0,Tuesday,No,Foggy,B,146
22.0,Friday,No,Snowy,A,22
19.0,Thursday,,Foggy,D,143
11.0,Thursday,No,Foggy,A,224
4.0,Sunday,No,Clear,C,80
8.0,Monday,No,Snowy,A,97
2.0,Sunday,,Snowy,A,10
17.0,Tuesday,Yes,Rainy,C,139
4.0,Thursday,No,Clear,B,61
15.0,Tuesday,Yes,Snowy,D,92
10.0,Thursday,Yes,Rainy,B,150
10.0,Saturday,Yes,Foggy,D,83
18.0,Friday,Yes,Snowy,B,10
9.0,Monday,No,Rainy,B,217
4.0,Sunday,No,Snowy,D,10
11.0,Sunday,Yes,Rainy,C,167
19.0,Saturday,No,Foggy,D,128
3.0,Friday,Yes,Snowy,B,10
0.0,Wednesday,Yes,Rainy,C,10
6.0,Wednesday,No,Snowy,C,10
22.0,Sunday,Yes,Rainy,B,10
17.0,Friday,No,Snowy,B,202
13.0,Saturday,Yes,Snowy,B,86
22.0,Monday,Yes,Rainy,C,10
15.0,Saturday,No,Clear,D,280
21.0,Wednesday,Yes,Foggy,C,10
11.0,Friday,Yes,Snowy,B,61
15.0,Tuesday,No,Foggy,D,240
12.0,Friday,No,Snowy,D,243
2.0,Sunday,No,Rainy,B,10
18.0,Sunday,Yes,Foggy,C,66
1.0,Thursday,No,Rainy,A,18
11.0,Monday,Yes,Rainy,C,175
19.0,Tuesday,Yes,Clear,C,90
5.0,Saturday,No,Clear,D,117
8.0,Tuesday,Yes,Foggy,D,10
18.0,Saturday,No,Clear,C,255
11.0,Thursday,Yes,Clear,D,195
22.0,Monday,No,Snowy,D,10
9.0,Friday,No,Clear,,227
5.0,Monday,No,Rainy,C,55
8.0,Wednesday,No,Rainy,C,152
7.0,Monday,Yes,Clear,B,43
,Saturday,Yes,Snowy,D,103
12.0,Sunday,No,Foggy,B,282
21.0,Friday,Yes,Rainy,B,10
19.0,Sunday,Yes,Clear,D,161
13.0,Tuesday,Yes,Foggy,A,106
21.0,Tuesday,Yes,Foggy,B,10
3.0,Saturday,Yes,Foggy,D,10
21.0,Thursday,,,B,167
1.0,Thursday,No,Snowy,B,10
9.0,Tuesday,Yes,Snowy,A,10
13.0,Sunday,Yes,Snowy,A,95
23.0,Tuesday,Yes,Rainy,C,10
23.0,Wednesday,No,Clear,A,111
13.0,Monday,Yes,Foggy,B,152
8.0,Friday,Yes,Clear,A,66
15.0,Tuesday,Yes,Snowy,B,123
23.0,Sunday,No,Clear,A,100
2.0,Sunday,No,,B,66
9.0,Tuesday,No,Rainy,B,211
,Friday,Yes,Clear,D,193
23.0,Tuesday,Yes,Clear,B,10
2.0,Tuesday,No,Foggy,A,10
16.0,Sunday,Yes,Rainy,C,182
12.0,Saturday,No,Clear,B,329
18.0,Monday,No,Clear,B,277
14.0,Monday,No,Clear,C,376
22.0,Wednesday,Yes,Foggy,B,10
12.0,Friday,Yes,Clear,B,221
1.0,Tuesday,No,Clear,C,51
,Monday,No,Clear,C,326
14.0,Friday,No,Snowy,B,252
5.0,Thursday,Yes,Rainy,D,10
17.0,Monday,Yes,Rainy,A,162
22.0,Friday,No,Foggy,,71
19.0,Sunday,Yes,Snowy,B,10
3.0,Tuesday,Yes,Rainy,D,10
5.0,Friday,No,Clear,C,88
18.0,Tuesday,No,Rainy,A,241
19.0,Friday,No,Rainy,C,196
10.0,Tuesday,Yes,Foggy,C,77
21.0,Monday,No,Rainy,D,133
15.0,Tuesday,No,Rainy,C,289
,Saturday,No,Clear,C,372
19.0,Friday,No,Clear,C,219
2.0,Saturday,No,Foggy,A,10
3.0,Monday,No,Snowy,D,10
12.0,Thursday,Yes,Clear,A,226
10.0,Monday,Yes,Rainy,A,127
19.0,Saturday,Yes,Snowy,A,11
6.0,Friday,No,Foggy,A,45
17.0,Tuesday,Yes,Foggy,D,88
0.0,Saturday,Yes,Clear,D,10
21.0,Saturday,Yes,Snowy,D,10
14.0,Tuesday,Yes,Clear,C,250
13.0,Friday,Yes,Snowy,D,102
7.0,Monday,Yes,Rainy,D,10
5.0,Sunday,Yes,Snowy,B,10
8.0,Saturday,Yes,Snowy,C,10
0.0,Friday,No,Rainy,A,19
18.0,Sunday,No,Foggy,D,179
15.0,Wednesday,No,Foggy,A,270
8.0,Monday,No,Snowy,A,85
7.0,Saturday,No,Snowy,A,31
6.0,Thursday,No,Rainy,D,76
16.0,Monday,Yes,Rainy,A,175
22.0,Wednesday,No,Clear,B,96
19.0,Sunday,No,Foggy,A,131
12.0,Sunday,Yes,Rainy,C,156
,Sunday,Yes,Rainy,A,166
19.0,Wednesday,No,Snowy,D,125
14.0,Friday,No,Clear,C,380
19.0,Wednesday,No,Foggy,C,176
22.0,Saturday,Yes,Rainy,D,10
21.0,Monday,No,Snowy,A,41
18.0,Wednesday,Yes,Snowy,C,15
5.0,Friday,Yes,Foggy,B,10
10.0,Tuesday,No,Foggy,C,189
3.0,Sunday,Yes,Rainy,D,10
13.0,Sunday,Yes,Snowy,B,88
15.0,Tuesday,,Foggy,B,275
5.0,Sunday,Yes,Snowy,D,10
1.0,Saturday,Yes,,A,10
7.0,Wednesday,Yes,Foggy,A,10
9.0,Friday,No,Rainy,D,213
6.0,Sunday,Yes,Rainy,A,10
5.0,Saturday,Yes,Foggy,A,10
1.0,Saturday,Yes,Snowy,A,10
15.0,Tuesday,Yes,Clear,C,227
22.0,Sunday,Yes,Clear,B,10
16.0,Wednesday,No,Snowy,D,210
,Monday,No,Clear,A,340
3.0,Saturday,No,Clear,B,84
9.0,Saturday,Yes,,B,138
5.0,Thursday,No,Clear,C,137
12.0,Thursday,No,Snowy,B,195
22.0,Sunday,No,Snowy,D,22
12.0,,Yes,Snowy,D,94
2.0,,Yes,Foggy,A,10
23.0,Wednesday,No,,B,78
15.0,Sunday,No,Foggy,A,248
17.0,Thursday,Yes,Snowy,D,54
3.0,Saturday,Yes,Clear,A,10
19.0,Saturday,Yes,Snowy,C,10
7.0,Wednesday,No,Foggy,A,66
21.0,Wednesday,No,Foggy,A,84
15.0,Saturday,No,Rainy,D,312
6.0,Monday,Yes,Clear,D,43
18.0,Tuesday,Yes,Clear,D,174
15.0,Sunday,Yes,Rainy,B,173
21.0,Wednesday,No,Rainy,C,103
14.0,Tuesday,No,Foggy,B,280
19.0,Saturday,Yes,Rainy,C,52
11.0,Friday,No,Foggy,D,263
16.0,Thursday,Yes,Rainy,C,193
1.0,Wednesday,Yes,Snowy,B,10
17.0,Friday,No,Clear,D,272
21.0,Friday,No,Snowy,C,68
17.0,Tuesday,Yes,Rainy,A,144
5.0,Monday,No,Foggy,,39
14.0,Tuesday,No,Foggy,C,238
22.0,Tuesday,Yes,Rainy,D,10
7.0,Saturday,No,Snowy,A,41
11.0,Saturday,Yes,Foggy,A,107
17.0,Monday,No,Snowy,C,177
6.0,Monday,Yes,Clear,B,17
6.0,Thursday,Yes,Snowy,A,10
,Saturday,Yes,Rainy,A,167
7.0,Thursday,No,Clear,A,164
20.0,Monday,Yes,Clear,A,90
21.0,Monday,No,Clear,B,175
12.0,Sunday,Yes,Foggy,A,107
17.0,,No,Clear,C,275
20.0,Tuesday,Yes,Foggy,B,26
18.0,Sunday,No,Clear,A,282
6.0,Thursday,No,Rainy,A,70
10.0,Wednesday,No,Rainy,C,266
13.0,Wednesday,Yes,Snowy,C,107
23.0,Thursday,No,Snowy,B,10
2.0,Sunday,Yes,Clear,A,10
20.0,Friday,Yes,Foggy,D,41
4.0,Tuesday,No,Clear,A,105
19.0,Sunday,No,Rainy,D,194
1.0,Thursday,No,Clear,C,75
14.0,Monday,No,Foggy,C,283
18.0,Saturday,Yes,Snowy,B,62
11.0,Wednesday,No,Clear,B,287
7.0,Saturday,Yes,Foggy,A,10
13.0,Saturday,No,Rainy,,326
1.0,Friday,Yes,Rainy,C,10
16.0,Friday,Yes,Foggy,B,106
15.0,Tuesday,No,Rainy,C,264
21.0,Thursday,Yes,Snowy,A,10
16.0,Sunday,Yes,Clear,A,224
21.0,Friday,Yes,Snowy,C,10
22.0,Tuesday,No,Snowy,A,10
8.0,Tuesday,Yes,Snowy,A,10
0.0,Monday,No,Foggy,A,10
20.0,Wednesday,No,Foggy,D,86
13.0,Friday,No,Snowy,C,224
22.0,Tuesday,Yes,Snowy,B,10
16.0,Wednesday,Yes,Clear,B,209
19.0,Monday,No,Clear,D,197
16.0,Friday,Yes,,C,208
19.0,Saturday,Yes,Foggy,A,13
2.0,Sunday,No,Rainy,A,23
17.0,Sunday,No,Foggy,B,233
12.0,Wednesday,Yes,Foggy,A,111
8.0,Sunday,No,Snowy,B,70
14.0,Friday,No,Clear,B,329
7.0,Thursday,Yes,Foggy,A,10
23.0,Monday,Yes,Foggy,C,10
23.0,Tuesday,Yes,Rainy,B,10
7.0,Wednesday,Yes,Clear,D,51
17.0,Sunday,No,Foggy,C,215
18.0,Friday,No,Clear,D,259
5.0,Monday,No,,B,92
3.0,Friday,Yes,Rainy,C,10
15.0,Thursday,No,Snowy,B,214
18.0,Sunday,No,Snowy,B,131
23.0,,No,Foggy,C,53
18.0,Monday,Yes,Foggy,A,76
10.0,Wednesday,No,Snowy,B,141
20.0,Tuesday,No,Snowy,D,84
12.0,Thursday,Yes,Foggy,D,128
2.0,Wednesday,No,Foggy,D,10
14.0,Wednesday,No,Rainy,B,322
21.0,Saturday,Yes,Snowy,A,10
15.0,Monday,Yes,Rainy,D,174
7.0,Thursday,Yes,,C,30
10.0,Thursday,No,Rainy,B,229
14.0,Saturday,No,Foggy,D,224
2.0,Wednesday,Yes,Clear,B,10
15.0,Saturday,No,Snowy,B,252
17.0,Thursday,No,Rainy,D,299
7.0,Thursday,No,Foggy,A,76
9.0,Thursday,No,Snowy,A,130
,Monday,Yes,Clear,,216
6.0,Wednesday,No,Snowy,A,67
4.0,Sunday,No,Foggy,A,12
22.0,Sunday,Yes,Clear,A,10
6.0,Saturday,No,Clear,A,106
20.0,Wednesday,Yes,Rainy,,10
8.0,Thursday,Yes,Snowy,B,10
2.0,Thursday,No,Clear,B,35
3.0,Tuesday,No,Snowy,A,10
11.0,Wednesday,No,Foggy,D,213
5.0,Wednesday,No,Rainy,B,32
8.0,,No,Clear,C,234
7.0,Monday,No,Snowy,B,59
10.0,Wednesday,Yes,Rainy,A,115
15.0,Monday,No,Foggy,B,294
,Tuesday,Yes,Clear,D,211
22.0,Friday,Yes,Foggy,B,10
3.0,Tuesday,Yes,Rainy,B,10
17.0,Monday,No,Snowy,B,197
17.0,Wednesday,No,Foggy,C,205
13.0,Thursday,No,Rainy,C,301
14.0,,Yes,Clear,,212
7.0,,No,Rainy,D,94
4.0,Friday,No,Clear,B,89
23.0,Thursday,Yes,Foggy,D,10
1.0,Wednesday,No,Clear,B,27
19.0,Saturday,No,Clear,B,250
22.0,Monday,No,Clear,C,112
4.0,Monday,Yes,Foggy,D,10
4.0,Thursday,No,Rainy,B,18
8.0,Wednesday,Yes,Snowy,C,10
11.0,Monday,Yes,Snowy,D,67
7.0,Wednesday,Yes,Clear,B,25
,Saturday,No,Clear,B,335
16.0,Friday,Yes,Clear,A,209
1.0,Sunday,No,Clear,C,50
21.0,,No,Snowy,A,23
15.0,Friday,Yes,Snowy,A,93
16.0,Thursday,,Foggy,C,265
16.0,Monday,No,Clear,C,340
10.0,Saturday,No,Rainy,B,215
9.0,Wednesday,Yes,Rainy,B,81
9.0,Friday,No,Rainy,B,214
17.0,Saturday,No,Rainy,C,233
13.0,Wednesday,No,Rainy,,316
19.0,Friday,Yes,Rainy,C,66
15.0,Sunday,No,Snowy,B,236
7.0,Sunday,No,Rainy,B,106
2.0,Thursday,No,Snowy,D,10
1.0,Sunday,No,Clear,D,23
1.0,Tuesday,No,Clear,A,56
14.0,Wednesday,No,Snowy,A,235
4.0,Saturday,Yes,Rainy,C,10
5.0,Saturday,No,Foggy,B,27
3.0,Saturday,No,Snowy,B,10
12.0,Tuesday,Yes,Rainy,A,169
9.0,Thursday,Yes,Rainy,A,55
,Thursday,Yes,Snowy,D,77
14.0,,No,Rainy,B,311
11.0,Sunday,No,Clear,D,289
5.0,Friday,Yes,Foggy,A,10
10.0,Thursday,No,Clear,B,295
8.0,Thursday,Yes,Clear,A,68
22.0,Sunday,No,Foggy,C,62
19.0,Friday,No,Rainy,B,176
,Monday,Yes,Rainy,D,180
10.0,Sunday,Yes,Foggy,A,104
16.0,,No,Clear,B,280
10.0,Thursday,Yes,Snowy,D,19
17.0,Thursday,No,Clear,C,318
21.0,,No,Foggy,B,77
0.0,Thursday,Yes,Snowy,A,10
9.0,Wednesday,No,Snowy,C,107
9.0,Wednesday,No,Rainy,D,201
15.0,Tuesday,No,Foggy,B,262
3.0,Friday,Yes,Clear,,10
1.0,Friday,No,Clear,,60
9.0,Tuesday,Yes,Foggy,A,46
5.0,Monday,Yes,Foggy,C,10
22.0,Friday,Yes,Foggy,A,10
15.0,Monday,Yes,Snowy,D,96
9.0,Tuesday,Yes,Snowy,A,10
22.0,Thursday,No,Rainy,C,77
12.0,Saturday,No,Clear,A,336
14.0,Wednesday,Yes,Snowy,A,152
20.0,Wednesday,No,Rainy,B,177
12.0,Tuesday,No,Snowy,C,203
7.0,Saturday,No,Snowy,A,65
5.0,Thursday,Yes,Snowy,A,10
4.0,Sunday,Yes,Rainy,C,10
18.0,Tuesday,No,Foggy,D,175
11.0,,No,Foggy,,189
17.0,Wednesday,No,Rainy,D,259
22.0,Thursday,Yes,Snowy,D,10
11.0,Tuesday,Yes,Clear,B,220
15.0,Tuesday,No,Snowy,D,231
17.0,Thursday,Yes,Clear,B,182
8.0,Friday,Yes,Snowy,A,10
22.0,Saturday,No,Clear,A,81
20.0,Saturday,No,Foggy,A,125
16.0,Friday,No,Foggy,A,265
19.0,Saturday,No,Snowy,A,89
9.0,,No,Clear,C,262
19.0,Sunday,Yes,Rainy,C,86
8.0,Tuesday,Yes,Clear,B,72
13.0,Tuesday,Yes,Foggy,C,158
3.0,Thursday,No,Rainy,D,61
4.0,,No,Foggy,A,10
17.0,Sunday,No,Foggy,C,231
12.0,Saturday,Yes,Rainy,A,161
,Monday,No,Foggy,,233
2.0,Friday,Yes,Clear,A,10
19.0,Saturday,Yes,Rainy,D,62
2.0,Wednesday,No,Clear,A,51
10.0,Wednesday,No,Clear,B,265
5.0,Monday,No,Clear,C,104
2.0,Saturday,,Snowy,A,10
21.0,Tuesday,No,Snowy,D,62
2.0,Monday,No,Foggy,C,10
20.0,Saturday,No,Snowy,C,75
5.0,Thursday,No,Clear,C,74
20.0,Tuesday,,Rainy,A,151
20.0,Friday,No,Clear,A,208
23.0,Monday,No,Rainy,B,69
1.0,Thursday,No,Clear,,37
20.0,Wednesday,Yes,Rainy,A,57
3.0,Friday,Yes,Rainy,D,10
21.0,Tuesday,Yes,Rainy,A,10
13.0,Wednesday,No,Clear,D,382
0.0,,Yes,Foggy,D,10
6.0,Wednesday,No,Rainy,A,60
22.0,Monday,No,Clear,B,89
16.0,Friday,Yes,Rainy,B,200
4.0,Thursday,Yes,Clear,C,10
13.0,Friday,No,Clear,B,344
0.0,Monday,Yes,Foggy,C,10
3.0,Monday,No,Snowy,A,10
15.0,Thursday,No,Foggy,B,314
8.0,Tuesday,Yes,Clear,D,83
10.0,Wednesday,Yes,Rainy,D,117
6.0,Sunday,Yes,Rainy,D,10
18.0,Friday,No,Clear,A,285
12.0,Sunday,Yes,Rainy,A,174
13.0,Tuesday,Yes,,C,209
14.0,Saturday,No,Rainy,D,319
11.0,Saturday,Yes,Foggy,C,144
8.0,Friday,Yes,Clear,C,107
1.0,Saturday,Yes,Foggy,A,10
5.0,Saturday,Yes,Foggy,A,10
23.0,Friday,Yes,Rainy,C,10
13.0,Monday,No,Clear,C,342
11.0,Saturday,Yes,Snowy,D,67
9.0,Monday,No,Rainy,B,221
,Thursday,Yes,Snowy,A,56
,Sunday,No,Foggy,C,280
21.0,Sunday,No,Rainy,C,118
8.0,Wednesday,Yes,Foggy,B,10
5.0,Wednesday,Yes,Rainy,A,10
10.0,Thursday,Yes,Clear,C,122
14.0,Tuesday,Yes,Snowy,B,126
10.0,Saturday,No,Foggy,C,196
18.0,Sunday,No,Clear,A,249
17.0,Monday,Yes,Clear,B,160
7.0,Sunday,Yes,Snowy,A,10
12.0,Wednesday,Yes,Foggy,D,163
,Wednesday,No,Clear,D,325
13.0,Wednesday,No,Snowy,A,195
9.0,Sunday,No,Snowy,D,114
8.0,Friday,Yes,Snowy,D,10
9.0,Wednesday,No,Clear,C,185
20.0,Saturday,No,Snowy,,79
8.0,Monday,No,Snowy,D,75
3.0,Saturday,No,Clear,D,69
4.0,Monday,No,Foggy,C,27
2.0,Sunday,Yes,Rainy,C,10
21.0,Wednesday,No,Foggy,A,76
9.0,Thursday,Yes,Rainy,B,57
17.0,Sunday,Yes,Clear,B,238
15.0,Saturday,No,Foggy,,266
3.0,Sunday,Yes,Rainy,A,10
3.0,Sunday,No,Clear,A,55
8.0,Wednesday,Yes,Rainy,B,44
,Tuesday,No,Foggy,B,247
2.0,Friday,Yes,Foggy,A,10
3.0,Friday,No,Rainy,A,10
11.0,Thursday,Yes,Foggy,A,105
15.0,Saturday,Yes,Snowy,C,94
23.0,Sunday,No,Snowy,A,10
15.0,Wednesday,No,Snowy,A,227
12.0,Friday,Yes,Rainy,D,165
13.0,Wednesday,No,Snowy,D,255
16.0,Sunday,Yes,Snowy,,37
23.0,Monday,Yes,Snowy,C,10
19.0,Sunday,No,Rainy,D,224
8.0,Sunday,Yes,Clear,A,39
10.0,Thursday,Yes,Foggy,B,68
4.0,Thursday,Yes,Snowy,D,10
5.0,Thursday,No,Foggy,C,10
0.0,Tuesday,No,Clear,C,55
13.0,Wednesday,Yes,Rainy,C,163
22.0,Wednesday,,Foggy,D,80
13.0,Saturday,Yes,Snowy,C,124
15.0,Saturday,No,Foggy,C,290
13.0,Saturday,Yes,Rainy,A,199
18.0,Tuesday,Yes,Clear,C,132
16.0,Tuesday,Yes,Foggy,C,119
17.0,Thursday,No,Rainy,B,276
